entry,lep_pt_0,lep_pt_1,lep_pt_2,lep_pt_3,lep_eta_0,lep_eta_1,lep_eta_2,lep_eta_3,lep_phi_0,lep_phi_1,lep_phi_2,lep_phi_3,lep_E_0,lep_E_1,lep_E_2,lep_E_3,lep_charge_0,lep_charge_1,lep_charge_2,lep_charge_3,lep_type_0,lep_type_1,lep_type_2,lep_type_3,lep_z0_0,lep_z0_1,lep_z0_2,lep_z0_3,lep_sigd0_0,lep_sigd0_1,lep_sigd0_2,lep_sigd0_3,lep_ptconerel_0,lep_ptconerel_1,lep_ptconerel_2,lep_ptconerel_3,lep_etconerel_0,lep_etconerel_1,lep_etconerel_2,lep_etconerel_3,min_mll,mZ1,mZ2,mllll,totalWeight
227,60.394140625,38.86038671875,12.176943359375,9.3840234375,1.9079975,2.2404428,1.7432332,1.5937917,2.364928,-0.11972124,-1.8499922,-2.0386546,207.996125,184.6626875,35.86565234375,24.0490546875,1,-1,-1,1,13,13,11,11,0.009254456,-0.030715942,-0.70147705,0.671051,3.4718435,0.85984206,7.091555,2.0346966,0.0,0.0,0.45144594,0.6645914,-0.0007584253,-0.0051507754,0.013117242,-0.013151339,2.57138612696079,93.12681256263265,2.57138612696079,121.48442204706384,0.19221192736835135
228,45.40398828125,26.987296875,12.2651572265625,10.31088671875,0.8924626,0.4250943,-1.0340385,-0.40151325,-2.177988,1.5488755,-2.3232331,0.04205343,64.71846484375,29.462798828125,19.42810546875,11.153236328125,1,-1,1,1,13,13,13,11,-0.021045685,0.046276093,-0.1025238,138.78255,1.8110716,1.0329348,7.587264,0.029315911,0.0,0.0,0.09023274,0.0,0.02591471,-0.016400829,-0.036087107,-0.031465445,44.65556123272469,69.0366138033795,22.039059060389977,114.7708156424685,0.09869657367678653
229,45.7488125,40.14319140625,7.8938896484375,7.186759765625,0.5014086,0.7826375,-0.49056172,-0.70896953,-1.8623234,1.413944,-0.71382976,-0.45113438,51.6212890625,53.07807421875,8.863556640625,9.0704765625,1,-1,1,1,13,13,13,13,0.06952286,0.029251099,-63.53196,-63.429607,3.4735327,4.0126266,0.018565005,0.56260985,0.0,0.0,0.0,0.0,0.0027162817,-0.009085839,-0.080442764,-0.09962241,38.91688039824105,86.36554076278115,2.5795635234671535,111.55402813983052,0.31218992609599433
230,69.6997890625,29.379802734375,10.2682138671875,7.4908203125,-0.09570517,-0.34542635,1.627404,-1.1856266,-2.5836065,0.6716594,-0.57137144,0.43825316,70.0193203125,31.15026953125,27.14464453125,13.402169921875,-1,1,1,1,13,13,13,11,0.0077590942,-0.07178497,-0.07542801,-87.34081,1.9709874,0.6856951,5.872348,11.804241,0.0,0.0,0.8686854,0.0,0.0073795,0.06963009,0.32514733,0.23947385,68.91016466259819,91.06618855083036,34.70207960924768,138.5810488787034,0.13365989857271912
231,68.958453125,30.9097265625,7.40353466796875,7.32470703125,0.228479,0.67163825,1.393032,1.4155854,2.5626106,-1.0730703,2.3342202,0.105696514,70.76628125,38.147578125,15.82675,15.974365234375,1,-1,-1,-1,13,13,13,13,0.05718422,0.09210396,-50.219807,0.99103165,4.419595,2.3016787,1.4822322,52.223843,0.0,0.0,0.0,0.0,0.0004668887,-0.012139477,0.16559145,0.0015662289,28.29919565464179,91.87845163632586,13.222400173580725,115.94916123270028,0.0
232,64.12051953125,51.93127734375,38.7537578125,7.59472021484375,0.0015368031,0.56697494,0.40695247,-0.68381697,-2.8842134,-2.2589376,0.9587201,2.6674428,64.12068359375,60.50430859375,42.00743359375,9.4406669921875,-1,-1,1,1,13,13,13,11,30.149536,-0.031349182,0.045780182,40.65513,74.57463,2.3153284,0.9872385,0.9190416,0.0,0.0,0.0,0.0,0.017095247,-0.0036894605,0.01881232,-0.25323838,89.9454344824941,95.81623936791175,36.37448890733683,149.9674784403017,0.15364960807829472
233,50.18328515625,31.762099609375,9.8359443359375,9.733130859375,-0.9166812,-1.9911382,-1.0142778,0.061074596,2.1251955,-1.2301431,-1.8835838,1.9789368,72.786421875,118.479109375,15.344248046875,9.7512890625,-1,1,1,-1,13,13,11,11,0.034952164,-0.04137039,10.301338,10.487637,2.3602564,1.2634327,0.19838436,0.8303053,0.0,0.0,0.0,0.0,-0.012570612,-0.008175519,0.11370839,0.15619051,21.379736854531483,91.25410854425016,21.379736854531483,120.18910582414225,0.2994527889213549
234,57.07666796875,47.74584375,12.1453076171875,9.3080185546875,-1.8861423,-1.5835947,-1.6534348,-1.7568938,-1.9285462,1.0491563,2.4967203,2.4421487,192.5064375,121.2189921875,32.89140234375,27.770630859375,-1,1,-1,1,13,13,13,13,0.041397095,-0.022613525,136.64111,136.53561,0.1112983,1.766076,0.65386105,0.6374248,0.0,0.0,0.0,0.0,0.01701549,-0.00075876113,0.21470709,0.41707885,1.2618640909140006,105.25716227681991,1.2618640909140006,126.84712358609055,0.17913282224337726
235,40.35090625,37.8550859375,8.057662109375,8.00150048828125,-0.5060305,-1.6116154,2.432203,2.1584682,-2.5351174,0.62413496,0.4181388,-1.4314333,45.62848046875,98.62134375,46.2178515625,35.1000546875,1,-1,-1,1,13,13,11,11,-0.029323578,0.03670883,109.54441,109.03802,2.991482,2.915688,1.9773207,1.5712061,0.05467558,0.0,0.0,0.0,0.024913412,-0.008947399,0.025836967,0.1958173,13.01121827277274,90.41404139027097,13.01121827277274,223.037328962626,0.4276353392276691
236,86.2916640625,34.80130078125,18.06154296875,8.5933857421875,-1.3303043,-0.19149251,1.3358003,0.77586627,2.2136557,-3.0114267,0.18469685,2.0562859,174.5935625,35.44148046875,36.71898828125,11.3122392578125,-1,1,1,-1,13,13,11,11,-0.017349243,-0.01864624,-0.033843994,221.76462,2.3050551,1.2723053,2.183524,0.43052757,0.0,0.0,0.14532186,0.0,-0.004825762,0.08530144,0.22114556,0.047113758,21.268211423994423,85.98969945664136,21.268211423994423,203.59109975167473,0.19043205166817828
237,100.7574140625,55.49470703125,40.89569921875,12.892806640625,-0.084640205,-2.0258064,-2.1557412,1.2855504,1.3708701,-2.610635,0.250992,-2.2070856,101.11859375,214.046171875,178.920859375,25.09685546875,-1,1,-1,-1,13,13,13,11,-18.565147,0.017654419,-0.046085358,-0.022094727,33.396885,1.6607568,0.45696017,0.50074273,0.0,0.0,0.0,0.41011956,0.023983458,0.02309094,-0.0068712374,0.10121734,94.5497953451547,217.30824681681582,131.52728537959186,359.4559917252784,0.30920217709087844
238,37.3332265625,26.19153515625,11.77555078125,7.95643603515625,-2.0016608,-0.16262375,-1.5492668,-0.49641183,-2.5168843,0.94293696,-0.018525112,2.6532767,140.680015625,26.538845703125,28.970525390625,8.9576875,-1,1,-1,1,13,13,13,13,-0.10435486,-0.02519226,114.68402,101.573814,1.7094473,0.93801576,33.49624,2.215474,0.0,0.0,0.0,0.0,-0.012118538,0.003091409,-0.038420636,-0.016199267,21.641156244745822,90.35422358773529,21.641156244745822,113.59918251737486,0.18884605553183076
239,50.47725390625,38.7227578125,14.7086689453125,7.64832568359375,-2.2981658,-1.7232418,-0.49687782,-0.30802724,2.5826883,-0.5034334,-1.8751051,0.9060985,253.808421875,111.9310546875,16.562365234375,8.01473974609375,1,-1,1,1,13,13,13,13,-0.13585663,0.015090942,45.34675,45.33512,0.19504091,0.95850503,11.037311,23.320024,0.0,0.0,0.07037302,0.0,-0.0060239197,-0.01634892,0.019877128,-0.054183967,34.58930385019651,92.06831474318318,20.966832513160114,141.2422296928627,0.13845482298103962
240,43.10181640625,40.584875,14.7158876953125,7.59674658203125,-1.3482878,-0.49782035,-0.4968153,-0.30804047,-1.6709499,1.4199172,-1.8751209,0.9060866,88.5853125,45.71869140625,16.570015625,7.96073046875,-1,1,1,1,13,13,13,13,-0.02923584,0.017532349,143.86986,143.86539,0.36737332,1.1440704,11.232057,24.120762,0.0,0.0,0.0,0.0,0.02087454,0.027235845,0.09455104,-0.017447188,22.688195843477203,91.30195850232599,20.901080029304058,115.53840849741857,0.08628301360103696
241,33.771390625,28.3461171875,16.2933994140625,15.1054658203125,0.19618294,1.9169563,0.11490616,1.7568945,0.7713174,-2.352511,2.5532641,-2.0823271,34.42353125,98.4643046875,16.40108203125,45.0671171875,-1,1,1,1,13,13,11,11,-0.02529335,-0.18681526,73.22575,72.419464,2.0777395,0.017120874,10.992419,12.026828,0.0,0.0,0.0,0.0,-0.016201826,-0.03645661,0.15810472,0.03900772,86.2308272669911,86.2308272669911,36.833754802230665,127.9943281027063,-0.03943699970866331
242,44.22589453125,30.503736328125,25.5727265625,7.94381005859375,-0.21423064,1.0290227,-1.7760016,-1.764513,-2.3284843,0.6420406,1.2772869,1.4909136,45.2447734375,48.13021875,77.6836484375,23.871142578125,-1,1,1,-1,13,13,11,11,0.04576111,0.015289307,-0.16846848,-0.55723953,1.0956707,0.29468668,2.7291749,10.30736,0.028573735,0.0,0.23615688,2.2830155,-0.006254016,-0.009067396,0.15602425,0.50638014,3.0434422316965164,87.89142735844509,3.0434422316965164,181.66149377191044,0.15068944425275507
243,62.94929296875,36.8210078125,16.664681640625,16.46866796875,0.8695587,1.7066207,0.80943,0.80108017,1.8586786,-2.4992862,-0.6844594,-0.68137753,88.286265625,104.78871875,22.428734375,22.041583984375,-1,1,1,-1,13,13,13,11,0.22288322,0.22009659,0.06886101,0.20701027,2.852856,0.5011828,1.9004354,1.9378549,0.0,0.0,0.8441293,0.0639398,-0.005678284,0.00047171576,0.07535008,0.19275883,61.930246746535595,89.25084668076568,0.21017699701591938,140.29301450889892,0.17607938174150736
244,32.729755859375,30.5032421875,8.7464375,7.51509326171875,0.96378034,1.6205534,0.70313716,1.9705445,-0.6426494,1.7896669,-1.6692822,-0.6313771,49.1444375,80.12715625,10.9991259765625,27.4825546875,-1,1,-1,-1,13,13,11,11,0.0040626526,0.01035881,33.34113,18.555313,2.453489,2.636112,0.56159776,0.3378509,0.0,0.0,0.0,0.0,0.059749477,0.001702909,-0.1585263,0.20342955,62.91508361648207,62.91508361648207,13.607768896333202,82.60106903290404,0.1533229352073664
245,28.817890625,21.576025390625,9.073421875,7.3624765625,-2.12545,0.09716825,-0.30582282,1.3599741,-1.064804,2.0676231,-2.1829581,-0.522595,122.4190859375,21.678220703125,9.501046875,15.2876640625,1,-1,1,-1,13,13,11,13,-0.048194885,0.069107056,-11.4483185,-5.752018,0.23353738,2.1916425,9.876462,23.876513,0.0,0.0,0.0,0.35372266,0.017811019,-0.036622938,-0.0029878458,0.24518658,81.04076163032943,83.96929958123344,19.441623778188962,129.99490663404333,0.3107587610986051
246,42.63200390625,30.262248046875,25.91010546875,7.28206640625,2.0465097,0.49305564,-0.008063209,-2.3697534,-0.5891401,2.5258768,2.1411974,-0.65730184,167.757421875,34.01597265625,25.9111640625,39.28040625,-1,1,1,-1,13,13,13,11,0.04141617,0.0068893433,-164.78845,-60.660126,1.8724194,0.39659575,126.34107,1.0689632,0.0,0.0,0.06671422,0.0,-0.012936423,0.00878085,-0.010708331,0.07412366,94.61406226380348,103.85757248647538,65.66446144772503,227.65276975953003,0.14965553534726944
247,48.0945703125,39.23169921875,13.7134189453125,7.6786494140625,-1.4337286,-2.2042775,-2.0695329,-0.9320215,1.9874977,-1.7449914,-0.08348232,-2.8593028,106.595109375,179.9564375,55.17845703125,11.2627509765625,1,-1,-1,-1,13,13,11,13,0.019141197,0.072776794,-0.929656,-1.1706305,0.92463934,1.6636722,3.2121828,24.820513,0.0,0.0,0.0,0.0,-0.00038142776,0.004155452,0.27926552,-0.049099416,27.104933494632157,89.9130859523177,23.64167499354925,116.97336635650674,0.29790631862959877
